Brand;Price;Model;Year;Odometer;Transmission;Fuel;Horse_Power;Engine
;2019000;;2024;None;акпп;бензин;123;1.6
haval;3599000;dargo;2024;None;робот;бензин;192;2.0
;2019000;;2024;None;акпп;бензин;123;1.6
haval;3599000;dargo;2024;None;робот;бензин;192;2.0
haval;2299000;m6;2024;None;робот;бензин;143;1.5
;2019000;;2024;None;акпп;бензин;123;1.6
haval;2299000;m6;2024;None;робот;бензин;143;1.5
;2019000;;2024;None;акпп;бензин;123;1.6
haval;2299000;m6;2024;None;робот;бензин;143;1.5
;2019000;;2024;None;акпп;бензин;123;1.6
haval;2299000;m6;2024;None;робот;бензин;143;1.5
;2019000;;2024;None;акпп;бензин;123;1.6
;1459900;;2024;None;механика;бензин;106;1.6
haval;2299000;m6;2024;None;робот;бензин;143;1.5
;1011900;;2024;None;механика;бензин;90;1.6
;1459900;;2024;None;механика;бензин;106;1.6
;929900;;2024;None;механика;бензин;83;1.7
;1602900;;2024;None;механика;бензин;106;1.6
;971900;;2024;None;механика;бензин;90;1.6
;2142000;;2024;None;акпп;бензин;123;1.6
haval;2299000;m6;2024;None;робот;бензин;143;1.5
;945900;;2024;None;механика;бензин;90;1.6
haval;2299000;m6;2024;None;робот;бензин;143;1.5
;2019000;;2024;None;акпп;бензин;123;1.6
haval;2299000;m6;2024;None;робот;бензин;143;1.5
;2019000;;2024;None;акпп;бензин;123;1.6
;945900;;2024;None;механика;бензин;90;1.6
;971900;;2024;None;механика;бензин;90;1.6
haval;2179000;m6;2024;None;механика;бензин;143;1.5
;2019000;;2024;None;акпп;бензин;123;1.6
;2129000;;2024;None;акпп;бензин;123;1.6
;1217900;;2024;None;механика;бензин;80;1.7
;2019000;;2024;None;акпп;бензин;123;1.6
;1342900;;2024;None;механика;бензин;83;1.7
;1459900;;2024;None;механика;бензин;106;1.6
haval;3549000;dargo;2024;None;робот;бензин;192;2.0
haval;3349000;dargo;2024;None;робот;бензин;192;2.0
haval;2299000;jolion;2024;None;робот;бензин;143;1.5
chery;2145000;tiggo 4 pro;2024;None;вариатор;бензин;147;1.5
;2050000;;2024;None;механика;бензин;150;2.7
chery;2500000;tiggo 8;2024;None;робот;бензин;147;1.5
haval;2299000;jolion;2024;None;робот;бензин;143;1.5
haval;3599000;dargo;2024;None;робот;бензин;192;2.0
changan;3700000;;2024;None;акпп;бензин;226;2.0
;1342900;;2024;None;механика;бензин;83;1.7
;1734000;;2024;None;механика;бензин;150;2.7
;985900;;2024;None;механика;бензин;90;1.6
;1015900;;2024;None;механика;бензин;90;1.6
hyundai;2300000;solaris;2024;None;автомат;бензин;123;1.6
;965000;;2024;None;механика;бензин;90;1.6
;1195900;;2024;None;механика;бензин;106;1.6
chery;3100000;tiggo 7 pro max;2024;None;робот;бензин;150;1.6
;1195900;;2024;None;механика;бензин;106;1.6
;1459900;;2024;None;механика;бензин;106;1.6
chery;2480000;tiggo 4 pro;2024;None;вариатор;бензин;147;1.5
;1459900;;2024;None;механика;бензин;106;1.6
chery;2480000;tiggo 4 pro;2024;None;вариатор;бензин;147;1.5
;1459900;;2024;None;механика;бензин;106;1.6
;845000;;2024;17;механика;бензин;90;1.6
chery;2480000;tiggo 4 pro;2024;None;вариатор;бензин;147;1.5
;1459900;;2024;None;механика;бензин;106;1.6
chery;2480000;tiggo 4 pro;2024;None;вариатор;бензин;147;1.5
;1459900;;2024;None;механика;бензин;106;1.6
chery;2480000;tiggo 4 pro;2024;None;вариатор;бензин;147;1.5
chery;2480000;tiggo 4 pro;2024;None;вариатор;бензин;147;1.5
chery;2480000;tiggo 4 pro;2024;None;вариатор;бензин;147;1.5
;1459900;;2024;None;механика;бензин;106;1.6
;1459900;;2024;None;механика;бензин;106;1.6
changan;2849900;cs55;2024;None;робот;бензин;181;1.5
geely;2500990;belgee;2024;None;робот;бензин;150;1.5
geely;2500990;belgee;2024;None;робот;бензин;150;1.5
geely;2500990;belgee;2024;None;робот;бензин;150;1.5
geely;2500990;belgee;2024;None;робот;бензин;150;1.5
changan;4269900;uni-k;2024;None;акпп;бензин;226;2.0
;1668900;;2024;None;механика;бензин;106;1.6
;1668900;;2024;None;механика;бензин;106;1.6
;1507900;;2024;None;механика;бензин;83;1.7
;1011900;;2024;None;механика;бензин;90;1.6
;1459900;;2024;None;механика;бензин;106;1.6
;1011900;;2024;None;механика;бензин;90;1.6
;1668900;;2024;None;механика;бензин;106;1.6
;1459900;;2024;None;механика;бензин;106;1.6
;1665000;;2024;None;механика;бензин;136;1.5
;2200000;;2024;None;автомат;бензин;136;1.5
jetour;3999000;;2024;None;автомат;бензин;245;2.0
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
geely;2314990;atlas;2024;None;автомат;бензин;177;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
haval;2118000;jolion;2024;None;автомат;бензин;150;1.5
chery;2339500;tiggo 8;2024;None;автомат;бензин;147;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
geely;2314990;atlas;2024;None;автомат;бензин;177;1.5
chery;2339500;tiggo 8;2024;None;автомат;бензин;147;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
;1894990;;2024;None;автомат;бензин;150;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
geely;2281990;atlas;2024;None;автомат;бензин;177;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
geely;2314990;atlas;2024;None;автомат;бензин;177;1.5
haval;2248000;jolion;2024;None;автомат;бензин;150;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
chery;2488000;tiggo 7 pro max;2024;None;автомат;бензин;150;1.6
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
haval;2118000;jolion;2024;None;автомат;бензин;150;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
;3189900;;2024;None;автомат;бензин;186;1.6
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
chery;2339500;tiggo 8;2024;None;автомат;бензин;147;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
;1894990;;2024;None;автомат;бензин;150;1.5
changan;3348900;uni-k;2024;None;автомат;бензин;226;2.0
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
jetour;3999000;;2024;None;автомат;бензин;245;2.0
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
haval;2248000;jolion;2024;None;автомат;бензин;150;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
chery;2339500;tiggo 8;2024;None;автомат;бензин;147;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
changan;3348900;uni-k;2024;None;автомат;бензин;226;2.0
geely;2314990;atlas;2024;None;автомат;бензин;177;1.5
